,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
0,37.58,127.01,0,0,1,0,0
12,37.58,127.01,0,1,0,0,0
18,37.59,127.01,1,0,0,0,0
22,37.59,127.01,0,1,0,0,0
27,37.59,127.01,1,1,0,0,0
54,37.59,127.01,0,0,0,0,1
65,37.53,126.88,0,1,0,0,0
74,37.53,126.88,1,0,0,0,0
78,37.53,126.88,1,1,1,0,0
79,37.53,126.88,0,1,1,0,0
90,37.53,126.88,0,1,1,0,1
94,37.53,126.88,0,1,0,0,1
98,37.53,126.88,0,0,0,0,1
103,37.54,126.88,0,1,0,0,1
108,37.54,126.88,0,1,0,0,0
116,37.53,126.88,1,1,0,0,0
128,37.53,126.89,0,1,0,0,0
131,37.53,126.89,1,1,0,0,1
146,37.49,127.06,0,1,0,0,0
147,37.49,127.06,0,0,0,0,1
148,37.49,127.07,0,0,0,0,1
150,37.5,127.06,1,0,0,0,0
151,37.5,127.07,0,0,0,0,1
152,37.48,127.04,1,0,0,0,0
153,37.47,127.04,0,1,0,0,0
159,37.5,127.07,1,0,0,0,0
163,37.52,127.06,1,0,0,0,0
165,37.52,127.06,0,1,0,0,0
170,37.5,127.06,0,1,0,0,0
173,37.51,127.07,1,0,0,0,0
174,37.51,127.07,0,1,0,0,0
177,37.51,127.08,1,0,0,0,0
178,37.51,127.08,0,1,0,0,0
181,37.51,127.08,0,0,1,0,0
182,37.52,127.09,1,0,0,0,0
183,37.51,127.06,1,0,0,0,0
186,37.5,127.07,0,1,0,0,0
187,37.49,127.07,1,0,0,0,0
188,37.48,127.05,0,1,0,0,0
191,37.48,127.05,0,0,0,0,1
192,37.48,127.05,1,0,0,0,0
199,37.53,126.92,0,0,1,0,0
200,37.52,126.93,1,0,0,0,0
201,37.52,126.93,0,1,0,0,0
202,37.52,126.93,0,0,0,0,1
214,37.51,127.06,0,1,0,0,0
215,37.51,127.06,0,0,0,0,1
216,37.51,127.06,0,0,1,0,0
242,37.58,127.04,1,0,0,0,0
246,37.59,127.02,1,0,0,0,0
257,37.59,127.02,0,0,1,0,0
261,37.59,127.02,0,1,0,0,0
263,37.59,127.02,0,0,0,0,1
271,37.0,127.07,1,0,0,0,0
282,37.0,127.07,0,1,0,0,0
293,37.0,127.07,1,1,0,0,0
298,37.0,127.07,0,0,0,0,1
